Iteration,Best_Fitness,Function
486,5.901321539887019e-41,schwefel_2_22
491,2.0350052578359428e-41,schwefel_2_22
496,3.400197250180271e-42,schwefel_2_22
501,2.456561453770624e-42,schwefel_2_22
506,9.615831389105001e-43,schwefel_2_22
511,9.235054770447897e-43,schwefel_2_22
516,6.349834627971757e-44,schwefel_2_22
521,7.458048868337854e-45,schwefel_2_22
526,7.230278432592518e-45,schwefel_2_22
531,4.314694314139169e-45,schwefel_2_22
536,1.9896435912157172e-45,schwefel_2_22
541,5.961044114906792e-46,schwefel_2_22
546,3.7529018508619345e-47,schwefel_2_22
551,2.743467095768638e-47,schwefel_2_22
556,2.142744205816425e-48,schwefel_2_22
561,2.142744205816425e-48,schwefel_2_22
566,2.1389090763574087e-48,schwefel_2_22
571,1.826719713991209e-48,schwefel_2_22
576,1.1159951069938217e-49,schwefel_2_22
581,4.2030819466372373e-50,schwefel_2_22
586,3.4704562529488337e-50,schwefel_2_22
591,3.1966033590407743e-50,schwefel_2_22
596,5.904246984721019e-51,schwefel_2_22
601,5.75053710051888e-51,schwefel_2_22
606,2.882049604602357e-52,schwefel_2_22
611,2.8812417219969996e-52,schwefel_2_22
616,1.379545484654639e-52,schwefel_2_22
621,3.051554149956763e-53,schwefel_2_22
626,2.949170237271946e-53,schwefel_2_22
631,1.6919147051701345e-53,schwefel_2_22
636,9.83620941814239e-55,schwefel_2_22
641,9.048693849117838e-55,schwefel_2_22
646,1.4732450796161362e-55,schwefel_2_22
651,2.3355964251767287e-56,schwefel_2_22
656,1.074393431126178e-56,schwefel_2_22
661,9.872052786785574e-57,schwefel_2_22
666,3.4636479390328566e-57,schwefel_2_22
671,3.4636479390328566e-57,schwefel_2_22
676,2.974096029199936e-57,schwefel_2_22
681,2.6540822031456255e-57,schwefel_2_22
686,9.80199876980675e-58,schwefel_2_22
691,7.854726928803261e-58,schwefel_2_22
696,8.222773395624135e-59,schwefel_2_22
701,1.0867915529319092e-59,schwefel_2_22
706,3.903417991467881e-60,schwefel_2_22
711,3.903417991467881e-60,schwefel_2_22
716,3.616441714560584e-60,schwefel_2_22
721,3.616441714560584e-60,schwefel_2_22
726,3.9451596680554095e-61,schwefel_2_22
731,3.1424048826436406e-61,schwefel_2_22
736,1.7966532428414724e-62,schwefel_2_22
741,1.0699924192938919e-62,schwefel_2_22
746,1.066601143203014e-62,schwefel_2_22
751,6.785968724821097e-63,schwefel_2_22
756,5.807885076056307e-63,schwefel_2_22
761,2.0553650492814528e-63,schwefel_2_22
766,9.227101524177602e-65,schwefel_2_22
771,7.481309357601309e-65,schwefel_2_22
776,7.147277734369471e-66,schwefel_2_22
781,7.147277734369471e-66,schwefel_2_22
786,5.842165586861152e-66,schwefel_2_22
791,3.57088855279082e-66,schwefel_2_22
796,3.238067226549361e-66,schwefel_2_22
801,2.0494927830573783e-66,schwefel_2_22
806,3.4423990489139894e-68,schwefel_2_22
811,3.3424439784830827e-68,schwefel_2_22
816,1.48983122780788e-68,schwefel_2_22
821,8.10721295363219e-69,schwefel_2_22
826,4.1892556667557894e-70,schwefel_2_22
831,2.987395919872783e-70,schwefel_2_22
836,2.593995866196088e-70,schwefel_2_22
841,2.5330434529376496e-70,schwefel_2_22
846,1.615441588884626e-70,schwefel_2_22
851,8.260437941653206e-71,schwefel_2_22
856,8.072087633215037e-72,schwefel_2_22
861,8.072087633215037e-72,schwefel_2_22
866,8.0115383064346e-72,schwefel_2_22
871,5.314676683847889e-72,schwefel_2_22
876,7.810598768926265e-73,schwefel_2_22
881,4.347521145825758e-73,schwefel_2_22
886,1.1450512158908712e-73,schwefel_2_22
891,6.474769788353796e-74,schwefel_2_22
896,1.408773414970159e-74,schwefel_2_22
901,3.977417462855267e-75,schwefel_2_22
906,2.422645615545017e-75,schwefel_2_22
911,5.17026126612217e-76,schwefel_2_22
916,5.118885492725077e-77,schwefel_2_22
921,3.6696027958518545e-77,schwefel_2_22
926,3.3150922978512156e-77,schwefel_2_22
931,2.1999190508584754e-77,schwefel_2_22
936,4.907447581916041e-78,schwefel_2_22
941,1.0818386266701098e-78,schwefel_2_22
946,4.071022278702265e-79,schwefel_2_22
951,4.071022278702265e-79,schwefel_2_22
956,2.72067734550441e-79,schwefel_2_22
961,2.233872346308432e-79,schwefel_2_22
966,1.7202785915671736e-79,schwefel_2_22
971,6.972160505073839e-80,schwefel_2_22
976,2.572788069482145e-80,schwefel_2_22
981,1.5593307703529827e-80,schwefel_2_22
986,3.870940387544839e-81,schwefel_2_22
991,3.4311080916418245e-81,schwefel_2_22
996,8.312307216992291e-82,schwefel_2_22
1,26.759910512439813,max_absolute
6,6.494560460991515,max_absolute
11,0.7491514902314996,max_absolute
16,0.1004665866862209,max_absolute
21,0.04579477910931355,max_absolute
26,0.025140952533731883,max_absolute
31,0.0004067396852113363,max_absolute
36,0.0004067396852113363,max_absolute
41,8.662745461966144e-06,max_absolute
46,8.60888660939598e-06,max_absolute
51,8.072479610784791e-06,max_absolute
56,6.782407060086224e-06,max_absolute
61,1.934193702264483e-06,max_absolute
66,1.3221494105535338e-06,max_absolute
71,1.3221494105535338e-06,max_absolute
76,8.651268859748972e-07,max_absolute
81,8.651268859748972e-07,max_absolute
86,5.748402353321872e-07,max_absolute
91,2.657086102815431e-07,max_absolute
96,9.617687946663257e-08,max_absolute
101,8.217041067999561e-08,max_absolute
106,5.537851124194636e-08,max_absolute
111,1.0279049043938115e-08,max_absolute
116,1.0279049043938115e-08,max_absolute
121,8.435737063076468e-09,max_absolute
126,1.1722282217158101e-09,max_absolute
131,1.1722282217158101e-09,max_absolute
136,7.809764421965427e-10,max_absolute
141,4.4408907160642203e-10,max_absolute
146,1.3625322999554344e-11,max_absolute
151,1.3625322999554344e-11,max_absolute
156,1.3625322999554344e-11,max_absolute
161,8.584647875473989e-12,max_absolute
166,3.769092905751337e-12,max_absolute
171,1.2121583974819179e-12,max_absolute
176,1.3543428391743382e-13,max_absolute
181,7.32318896875025e-14,max_absolute
186,4.2072235432081596e-14,max_absolute
191,7.593161589424267e-15,max_absolute
196,4.594920969372084e-16,max_absolute
201,3.977257261526536e-16,max_absolute
206,1.3811808929668023e-16,max_absolute
211,1.1403327941462478e-16,max_absolute
216,3.658543263993867e-17,max_absolute
221,5.288426979793301e-18,max_absolute
226,4.388981028508715e-18,max_absolute
231,3.3239596476968214e-18,max_absolute
236,1.8989190844489172e-18,max_absolute
241,1.6072735562642897e-18,max_absolute
246,7.725158716104789e-19,max_absolute
251,9.934202401216572e-20,max_absolute
256,7.835726597023632e-20,max_absolute
261,9.072313329957471e-21,max_absolute
266,6.8655518829694445e-22,max_absolute
271,6.8655518829694445e-22,max_absolute
276,3.7988272210730416e-22,max_absolute
281,6.01646926727119e-23,max_absolute
286,2.3146428693766105e-23,max_absolute
291,1.228198376555507e-23,max_absolute
296,8.893039100541955e-24,max_absolute
301,5.4927810389652286e-24,max_absolute
306,3.686296515354704e-24,max_absolute
311,4.721830379539712e-25,max_absolute
316,2.6943346676585e-25,max_absolute
321,2.6943346676585e-25,max_absolute
326,5.194070165802606e-26,max_absolute
331,4.657911774728052e-26,max_absolute
336,1.649680861279362e-26,max_absolute
341,9.138993824018333e-27,max_absolute
346,3.1873324946137147e-27,max_absolute
351,3.0696452480217195e-27,max_absolute
356,2.8479022254202376e-27,max_absolute
361,2.6151848780852997e-28,max_absolute
366,2.6151848780852997e-28,max_absolute
371,1.3084198492866338e-28,max_absolute
376,2.4471070195037282e-29,max_absolute
381,2.4471070195037282e-29,max_absolute
386,2.3258652543603007e-29,max_absolute
391,1.1515691791989761e-30,max_absolute
396,5.983280358115317e-31,max_absolute
401,4.128969643752455e-31,max_absolute
406,1.3953837768256359e-31,max_absolute
411,5.0687039650342965e-33,max_absolute
416,5.0687039650342965e-33,max_absolute
421,5.0687039650342965e-33,max_absolute
426,1.9134960624637375e-33,max_absolute
431,2.441561014050804e-34,max_absolute
436,1.5246869528563645e-34,max_absolute
441,1.5246869528563645e-34,max_absolute
446,6.63336183006855e-35,max_absolute
451,6.63336183006855e-35,max_absolute
456,2.2989467794277712e-35,max_absolute
461,2.2989467794277712e-35,max_absolute
466,1.2376560939887633e-36,max_absolute
471,1.2376560939887633e-36,max_absolute
476,5.326104567610896e-37,max_absolute
481,4.5821937190452096e-37,max_absolute
486,4.094714592035024e-37,max_absolute
491,3.1691863155693557e-37,max_absolute
496,5.148737893128174e-38,max_absolute
501,3.523667642644851e-38,max_absolute
506,1.323776070005445e-38,max_absolute
511,5.755195023325445e-39,max_absolute
516,1.1934308092578348e-39,max_absolute
521,2.2541966123954633e-40,max_absolute
526,2.2541966123954633e-40,max_absolute
531,1.7030617596032696e-40,max_absolute
536,1.5876035033101478e-40,max_absolute
541,1.1548083444679331e-40,max_absolute
546,2.3026687566710295e-41,max_absolute
551,1.0393985799036003e-41,max_absolute
556,3.923904673785027e-42,max_absolute
561,3.923904673785027e-42,max_absolute
566,1.1393162477637131e-42,max_absolute
571,1.1393162477637131e-42,max_absolute
576,2.2083947541122716e-43,max_absolute
581,9.764604076322445e-44,max_absolute
586,4.2735179111733533e-44,max_absolute
591,3.807455601791256e-44,max_absolute
596,2.0931504151358404e-45,max_absolute
601,2.0931504151358404e-45,max_absolute
606,4.300472203071522e-46,max_absolute
611,4.176835635430056e-46,max_absolute
616,7.472388792924401e-47,max_absolute
621,2.044902846509382e-47,max_absolute
626,3.732279839889988e-48,max_absolute
631,3.289151877033526e-48,max_absolute
636,3.217960542813478e-48,max_absolute
641,1.4332215245657272e-48,max_absolute
646,8.121629831261667e-49,max_absolute
651,7.383003333041655e-49,max_absolute
656,4.4288793174030205e-49,max_absolute
661,1.0766759189428877e-49,max_absolute
666,5.552854743286084e-50,max_absolute
671,5.552854743286084e-50,max_absolute
676,1.2333021037703758e-50,max_absolute
681,6.143706731792937e-51,max_absolute
686,4.537767267421721e-51,max_absolute
691,2.2081653710573885e-51,max_absolute
696,4.291368033879956e-52,max_absolute
701,2.0740864762193797e-52,max_absolute
706,8.1408391141134445e-53,max_absolute
711,7.063720902964501e-53,max_absolute
716,6.316714941987549e-53,max_absolute
721,1.5294393144056344e-53,max_absolute
726,6.401869899590837e-54,max_absolute
731,2.3003405776216676e-54,max_absolute
736,5.9639074163241555e-55,max_absolute
741,4.3619013544465285e-55,max_absolute
746,4.3619013544465285e-55,max_absolute
751,3.9025005117966885e-55,max_absolute
